,Please select your age.,What is the highest level of education you have attained?,In which discipline is your highest academic qualification?,In which institute do you work?,Do you write code as part of your job?,Who uses the code that you write?,How many years of software development experience do you have?,What programming language do you use at work? Please select all that apply.,Please rate every answer on a scale from 1 to 10. The sum of all 4 answers must be 10.,"In an average month, how much time do you spend on software development?","In an average month, how much time do you spend on research?","In an average month, how much time do you spend on management?","In an average month, how much time do you spend on other activities?","In an average month, how much time would you like to spend on software development?","In an average month, how much time would you like to spend on research?","In an average month, how much time would you like to spend on management?","In an average month, how much time would you like to spend on other activities?",Which version control tools do you use for software development? Please select all that apply.,Are you documenting your software?,"What kind of documentation do you write? Please rate every answer with “never”, “sometimes”, or “regularly”.",Developer guide,Code comments,Guide for new contributors,User manual,Release notes,Installation notes,README,Are you testing your software?,"How do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Automated,semi-automated,manually,"When do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Before I publish results based on it,Before I give it to someone else,During development,Did you ever reference or acknowledge software in a publication?,How do you reference software in a publication? Please select all that apply.,Do you care for making your software citable?
355,25 - 34,Master degree,Psychology,Institute Space 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Other,
356,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,,Yes,3,5.0,Python;#MATLAB,,2.0,2.0,6.0,1.0,2.0,3.0,4.0,1.0,Git,No,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,No,,,,,,,,,No,,No
357,18 - 24,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 15,Yes,1,4.0,MATLAB;#Visual Basic,,0.0,2.0,3.0,5.0,2.0,7.0,1.0,0.0,None,No,,,,,,,,,Yes,,,,2.0,,,,2.0,No,,No
358,25 - 34,Doctorate,Physics,,Yes,0 - Mostly me,10.0,Fortran;#Other,,5.0,4.0,0.0,1.0,4.0,5.0,0.0,1.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,Yes,DOI,No
359,25 - 34,Master degree,Electrical & Electronic Engineering,,Yes,1,3.0,Python;#MATLAB;#Other,,1.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,,2.0,3.0,No,,No
360,35 - 44,Master degree,Mechanical Engineering,Institute Space 11,Yes,2,11.0,Python;#C++;#Fortran,,4.0,4.0,1.0,1.0,,,,,Subversion,Yes,,2.0,3.0,,3.0,2.0,2.0,2.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link,No
361,35 - 44,Doctorate,Physics,Institute Space 4,Yes,2,20.0,Python;#C++,,1.0,1.0,6.0,2.0,1.0,3.0,5.0,1.0,Subversion,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,2.0,,2.0,2.0,3.0,No,,No
362,25 - 34,Master degree,Mechanical Engineering,Institute Space 10,Yes,2,7.0,Python;#MATLAB,,0.0,3.0,7.0,,0.0,5.0,5.0,,None,No,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,2.0,3.0,Yes,Name,No
363,45 - 54,Other,Computer Science,Institute Space 18,Yes,2,29.0,C;#Python;#C++;#SQL;#Perl;#Other,,5.0,2.0,0.0,3.0,7.0,2.0,0.0,1.0,Git;#CVS,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
364,45 - 54,Master degree,Aeronautical & Manufacturing Engineering,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
365,35 - 44,Master degree,Other,Institute Space 7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
366,45 - 54,general qualification for university entrance,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
367,25 - 34,Master degree,Psychology,Institute Aeronautics 6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
368,35 - 44,Doctorate,Physics,Institute Space 17,Yes,5 - Mostly other people,15.0,C;#Python;#C++;#JavaScript;#MATLAB,,4.0,2.0,3.0,1.0,4.0,4.0,2.0,,Git,Yes,,2.0,3.0,2.0,3.0,3.0,2.0,2.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI,Yes
369,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Space 11,Yes,2,3.0,C;#Python;#C++;#MATLAB,,2.0,5.0,1.0,2.0,3.0,5.0,0.0,2.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,2.0,2.0,3.0,,1.0,2.0,3.0,No,,No
370,45 - 54,Doctorate,Physics,Institute Space 16,Yes,4,18.0,C++;#Perl;#Other,,1.0,0.0,7.0,2.0,3.0,1.0,5.0,1.0,Git;#CVS,Yes,,3.0,3.0,2.0,2.0,3.0,3.0,2.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#Other,No
371,35 - 44,Doctorate,Electrical & Electronic Engineering,Institute Space 4,Yes,2,18.0,Java;#MATLAB,,1.0,2.0,6.0,2.0,2.0,7.0,1.0,0.0,Subversion,Yes,,1.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,,3.0,3.0,Yes,Link,Yes
372,35 - 44,Doctorate,Physics,Institute Aeronautics 12,Yes,2,12.0,Python,,4.0,2.0,3.0,1.0,3.0,4.0,1.0,2.0,Subversion,Yes,,2.0,3.0,1.0,3.0,2.0,3.0,3.0,Yes,,1.0,1.0,3.0,,1.0,1.0,3.0,Yes,Name;#Other,Yes
373,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
374,25 - 34,Master degree,Physics,Institute Aeronautics 15,Yes,2,10.0,Python;#Other,,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,Subversion;#Git,Yes,,2.0,3.0,2.0,3.0,2.0,3.0,3.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#Other,No
375,45 - 54,Doctorate,Chemistry,Other 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
376,45 - 54,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 3,Yes,3,30.0,C;#Python;#C++,,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,Subversion,Yes,,2.0,3.0,,2.0,2.0,2.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI,No
377,35 - 44,Final secondary-school examination,Electrical & Electronic Engineering,Institute Aeronautics 14,Yes,0 - Mostly me,30.0,C;#Python,,2.0,2.0,1.0,5.0,2.0,2.0,0.0,6.0,None,No,,1.0,1.0,1.0,,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,2.0,2.0,2.0,No,,No
378,35 - 44,Doctorate,Physics,Institute Space 11,Yes,1,15.0,MATLAB;#Fortran,,3.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,Subversion,Yes,,1.0,3.0,1.0,2.0,3.0,2.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
379,45 - 54,Master degree,Computer Science,Institute Aeronautics 6,Yes,4,35.0,Java;#Python;#C++;#MATLAB;#Other,,3.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,Subversion;#Git,Yes,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Yes,,2.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#Other,Yes
380,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 6,Yes,0 - Mostly me,4.0,C;#C++;#C#;#MATLAB;#R,,3.0,3.0,1.0,3.0,4.0,4.0,0.0,2.0,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
381,45 - 54,Doctorate,Computer Science,Institute Aeronautics 6,Yes,2,20.0,Java;#C++;#SQL,,2.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,Subversion,Yes,,1.0,3.0,2.0,2.0,3.0,2.0,3.0,Yes,,1.0,1.0,3.0,,3.0,3.0,2.0,Yes,Name;#Other,No
382,35 - 44,Master degree,Mechanical Engineering,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
383,45 - 54,Master degree,Computer Science,Institute Space 19,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Other,
384,25 - 34,Master degree,Computer Science,Institute Aeronautics 10,Yes,5 - Mostly other people,16.0,Python,,5.0,2.0,0.0,3.0,4.0,3.0,,3.0,Git,Yes,,2.0,2.0,1.0,3.0,3.0,3.0,3.0,Yes,,3.0,1.0,2.0,,3.0,3.0,3.0,Yes,Name,Yes
385,55 or older,Master degree,Mathematics,Institute Space 9,Yes,4,33.0,C;#SQL;#Perl;#Other,,7.0,2.0,0.0,1.0,6.0,3.0,,1.0,Subversion;#None,Yes,,1.0,3.0,1.0,3.0,2.0,1.0,2.0,Yes,,1.0,1.0,3.0,,2.0,3.0,3.0,Yes,Name,No
386,25 - 34,Doctorate,Mechanical Engineering,Institute Aeronautics 10,Yes,4,7.0,C;#Python;#C++;#Fortran,,9.0,1.0,0.0,0.0,7.0,0.0,3.0,,Git,Yes,,1.0,3.0,1.0,3.0,1.0,1.0,2.0,Yes,,,3.0,1.0,,3.0,3.0,3.0,Yes,Name,No
387,45 - 54,Doctorate,Physics,,Yes,2,25.0,C;#Python;#C++;#Visual Basic;#Other,,1.0,1.0,3.0,5.0,4.0,4.0,2.0,0.0,Git;#Other,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI;#Other,No
388,25 - 34,Doctorate,Mechanical Engineering,Other,Yes,3,8.0,Python;#MATLAB;#Fortran,,3.0,6.0,2.0,,3.0,4.0,3.0,,None,Yes,,,3.0,,,,3.0,2.0,Yes,,1.0,2.0,,,3.0,3.0,3.0,Yes,Link;#DOI,No
389,25 - 34,Master degree,Computer Science,Institute Aeronautics 10,Yes,4,14.0,C++,,2.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,Git,Yes,,1.0,3.0,1.0,2.0,3.0,3.0,3.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,No,,No
390,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 6,Yes,1,1.0,C;#C++,,2.0,4.0,4.0,0.0,3.0,5.0,1.0,1.0,Git,Yes,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,2.0,No,,No
391,35 - 44,Doctorate,Mechanical Engineering,Institute Energy 3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link;#DOI;#Other,
392,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,1,10.0,C;#Python;#C++;#Visual Basic .NET;#C#;#PHP;#SQL;#MATLAB;#Fortran,,1.0,5.0,4.0,0.0,3.0,7.0,0.0,0.0,None,Yes,,1.0,3.0,1.0,3.0,3.0,1.0,3.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#DOI;#Other,Yes
393,25 - 34,Doctorate,Electrical & Electronic Engineering,Institute Space 12,Yes,0 - Mostly me,8.0,MATLAB,,5.0,5.0,,,4.0,6.0,,,Git,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
394,35 - 44,Doctorate,Psychology,Other 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
395,25 - 34,Doctorate,Mathematics,Institute Energy 1,Yes,1,5.0,Python;#R;#Julia,,2.0,4.0,2.0,2.0,3.0,5.0,1.0,1.0,Git,No,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,2.0,2.0,No,,Yes
396,25 - 34,Doctorate,Physics,Institute Energy 1,Yes,1,8.0,Python;#MATLAB;#R,,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,Git;#CVS,Yes,,,2.0,,,,,,Yes,,3.0,2.0,1.0,,3.0,3.0,3.0,No,Name;#Link;#DOI;#Other,Yes
397,25 - 34,Undergraduate degree,Electrical & Electronic Engineering,,Yes,0 - Mostly me,1.0,MATLAB;#Julia,,2.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,None,Yes,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,3.0,3.0,3.0,,3.0,3.0,2.0,No,Name,No
398,55 or older,Doctorate,Medicine,Institute Space 2,Yes,0 - Mostly me,30.0,Other,,1.0,4.0,2.0,3.0,2.0,5.0,1.0,2.0,None,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,3.0,2.0,,3.0,,3.0,Yes,Name;#Link,No
399,35 - 44,Undergraduate degree,Computer Science,Institute Space 16,Yes,0 - Mostly me,10.0,Other,,1.0,0.0,4.0,5.0,0.0,3.0,3.0,4.0,None,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,Yes,,1.0,1.0,3.0,,1.0,3.0,3.0,No,Name,No
400,35 - 44,Doctorate,Astronomy,Institute Space 16,Yes,3,15.0,C#;#Other,,5.0,1.0,3.0,1.0,6.0,2.0,1.0,1.0,Git,Yes,,2.0,3.0,2.0,2.0,3.0,3.0,2.0,Yes,,3.0,3.0,1.0,,3.0,3.0,3.0,No,,No
401,35 - 44,Master degree,Mechanical Engineering,Institute Space 9,Yes,1,5.0,Python;#C++;#JavaScript,,2.0,2.0,1.0,5.0,4.0,3.0,,3.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#Link;#DOI,No
402,35 - 44,Doctorate,Mechanical Engineering,Institute Aeronautics 1,Yes,2,20.0,C;#Python;#C++,,2.0,4.0,3.0,1.0,5.0,5.0,1.0,1.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,2.0,2.0,3.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#DOI,No
403,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 4,Yes,0 - Mostly me,4.0,Python;#MATLAB,,3.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,Subversion,Yes,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,No,,No
404,25 - 34,Master degree,Chemical Engineering,Institute Energy 3,Yes,1,1.0,C;#Python;#MATLAB;#Visual Basic,,1.0,3.0,0.0,6.0,3.0,6.0,0.0,1.0,None,Yes,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,No,Name;#DOI;#Other,No
405,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 8,Yes,1,10.0,MATLAB,,2.0,5.0,1.0,2.0,1.0,5.0,2.0,2.0,Subversion,No,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,1.0,3.0,3.0,Yes,Name,No
406,35 - 44,Doctorate,Electrical & Electronic Engineering,Institute Space 3,Yes,2,10.0,Python;#IDL,,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,Subversion,Yes,,1.0,2.0,1.0,3.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,2.0,2.0,3.0,Yes,Name,No
407,45 - 54,Undergraduate degree,,Institute Aeronautics 8,Yes,4,30.0,C;#C++;#SQL;#MATLAB;#Fortran,,8.0,,,2.0,5.0,,,5.0,Subversion,Yes,,1.0,3.0,2.0,2.0,3.0,2.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
408,35 - 44,Master degree,Mechanical Engineering,Institute Energy 3,Yes,2,5.0,C++;#MATLAB,,1.0,2.0,7.0,0.0,2.0,4.0,4.0,,Subversion;#Git,Yes,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
409,25 - 34,Master degree,Mathematics,Other,Yes,2,2.0,C;#Python,,6.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,Subversion;#Git,Yes,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,Yes,,2.0,3.0,3.0,,3.0,3.0,3.0,No,,No
410,25 - 34,Master degree,Computer Science,Institute Space 17,Yes,5 - Mostly other people,10.0,Java;#JavaScript,,6.0,2.0,0.0,2.0,6.0,4.0,0.0,0.0,Subversion;#Git,Yes,,3.0,2.0,3.0,2.0,3.0,3.0,3.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
411,25 - 34,Master degree,Physics,Institute Space 10,Yes,2,7.0,Python;#MATLAB,,2.0,3.0,3.0,2.0,1.0,5.0,3.0,1.0,Subversion;#CVS,Yes,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,Yes,,2.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI,No
412,25 - 34,Doctorate,Computer Science,Institute Transport 1,Yes,2,10.0,Python;#C++,,4.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,Git,Yes,,2.0,3.0,2.0,3.0,1.0,3.0,3.0,Yes,,3.0,,3.0,,2.0,2.0,2.0,Yes,Name;#Other,Yes
413,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 8,Yes,4,7.0,C;#C++;#MATLAB,,4.0,3.0,0.0,3.0,5.0,4.0,,1.0,Subversion,No,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,Yes,,2.0,2.0,2.0,,3.0,3.0,3.0,No,Name,No
414,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Transport 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Other,
415,55 or older,Master degree,Mathematics,Institute Aeronautics 8,Yes,3,25.0,MATLAB,,4.0,4.0,1.0,1.0,4.0,6.0,0.0,0.0,Other,Yes,,1.0,3.0,1.0,3.0,2.0,2.0,3.0,Yes,,1.0,2.0,3.0,,2.0,3.0,3.0,Yes,Name;#Other,Yes
416,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 8,Yes,1,2.0,MATLAB,,4.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,Subversion,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,Other,No
417,55 or older,Master degree,Electrical & Electronic Engineering,Institute Space 17,Yes,5 - Mostly other people,30.0,Java;#Python,,3.0,4.0,1.0,2.0,3.0,3.0,1.0,3.0,Git,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,3.0,Yes,,2.0,2.0,3.0,,,3.0,3.0,No,,Yes
418,45 - 54,Doctorate,Physics,Institute Space 16,Yes,3,18.0,Java;#Python;#C++;#C#;#SQL,,1.0,,6.0,3.0,2.0,,7.0,1.0,Git,Yes,,2.0,3.0,1.0,1.0,3.0,3.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,No,,No
419,45 - 54,Doctorate,Biological Sciences,Institute Space 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
420,45 - 54,Doctorate,Geology,Institute Space 15,Yes,3,20.0,Java;#C;#Python;#SQL;#IDL,,3.0,5.0,0.0,2.0,2.0,7.0,,1.0,Subversion;#Git,Yes,,2.0,3.0,1.0,2.0,1.0,2.0,3.0,Yes,,1.0,2.0,1.0,,3.0,3.0,2.0,No,,Yes
421,55 or older,Doctorate,Mechanical Engineering,Institute Energy 3,Yes,3,30.0,Java;#C++;#Visual Basic;#Fortran,,1.0,2.0,6.0,1.0,2.0,3.0,3.0,2.0,Subversion,Yes,,1.0,2.0,1.0,3.0,3.0,2.0,2.0,Yes,,1.0,1.0,2.0,,2.0,2.0,2.0,Yes,Name;#Other,No
422,45 - 54,Doctorate,Computer Science,Institute Space 17,Yes,5 - Mostly other people,33.0,C;#Python;#C++;#Assembly language,,4.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,Subversion;#Git,Yes,,2.0,3.0,1.0,3.0,2.0,1.0,2.0,Yes,,3.0,2.0,3.0,,2.0,2.0,3.0,No,,No
423,25 - 34,Master degree,General Engineering,Institute Energy 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link;#DOI,
424,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 19,Yes,4,1.5,Perl;#Fortran,,7.0,0.0,0.0,3.0,8.0,0.0,0.0,2.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
425,45 - 54,Doctorate,Aeronautical & Manufacturing Engineering,Institute Space 2,Yes,1,3.0,MATLAB;#R,,2.0,4.0,1.0,3.0,2.0,5.0,1.0,2.0,Subversion,Yes,,1.0,3.0,2.0,2.0,2.0,1.0,2.0,Yes,,2.0,2.0,3.0,,3.0,2.0,3.0,No,Other,No
426,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 5,Yes,0 - Mostly me,3.0,MATLAB;#Other,,3.0,8.0,0.0,4.0,4.0,9.0,0.0,2.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
427,35 - 44,Doctorate,Physics,Institute Transport 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
428,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 8,Yes,3,12.0,Python;#C++;#SQL;#MATLAB;#Other,,5.0,8.0,2.0,3.0,4.0,8.0,2.0,3.0,Subversion,Yes,,1.0,3.0,2.0,2.0,,2.0,2.0,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,No,,No
429,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Energy 4,Yes,3,5.0,Python;#JavaScript;#Visual Basic;#Other,,2.0,3.0,1.0,4.0,5.0,3.0,1.0,1.0,Subversion,Yes,,2.0,3.0,2.0,2.0,3.0,2.0,2.0,No,,1.0,1.0,3.0,,1.0,1.0,3.0,No,Name,No
430,25 - 34,Master degree,Physics,Institute Energy 4,Yes,2,2.0,Python,,2.0,5.0,1.0,2.0,3.0,7.0,0.0,0.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,2.0,No,,No
431,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 2,Yes,2,13.0,Python;#C++,,5.0,6.0,3.0,5.0,4.0,8.0,1.0,1.0,"Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,2.0,3.0,2.0,2.0,1.0,1.0,3.0,Yes,,3.0,2.0,3.0,,2.0,2.0,3.0,Yes,Name,Yes
432,55 or older,Doctorate,Geography & Environmental Sciences,Other 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
433,55 or older,Other,Geography & Environmental Sciences,Institute Space 6,Yes,0 - Mostly me,30.0,Python;#Fortran;#IDL,,3.0,3.0,3.0,1.0,4.0,5.0,1.0,,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,3.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI;#Other,No
434,55 or older,Doctorate,Mechanical Engineering,Institute Energy 3,Yes,5 - Mostly other people,30.0,Python;#Delphi/Object Pascal,,1.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,Subversion,Yes,,,3.0,,3.0,,,2.0,Yes,,1.0,1.0,3.0,,2.0,2.0,2.0,Yes,Name;#Link,Yes
435,35 - 44,Doctorate,Mathematics,Institute Space 16,Yes,2,8.0,C++,,4.0,3.0,2.0,1.0,4.0,4.0,1.0,1.0,Git,Yes,,1.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,2.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link,No
436,45 - 54,Master degree,Electrical & Electronic Engineering,Institute Energy 4,Yes,1,20.0,MATLAB;#Other,,1.0,5.0,2.0,2.0,1.0,6.0,2.0,1.0,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,No,,No
437,55 or older,Doctorate,Electrical & Electronic Engineering,Institute Space 6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
438,25 - 34,Master degree,General Engineering,Institute Transport 1,Yes,1,2.0,Python;#C++;#C#,,2.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,Subversion;#Git,Yes,,1.0,3.0,2.0,2.0,1.0,1.0,2.0,No,,1.0,1.0,1.0,,1.0,1.0,1.0,Yes,Name;#Link,No
439,25 - 34,Master degree,Mechanical Engineering,Institute Energy 4,Yes,0 - Mostly me,4.0,Java;#MATLAB,,1.0,6.0,1.0,2.0,1.0,6.0,,2.0,None,No,,1.0,3.0,1.0,1.0,1.0,1.0,,Yes,,1.0,2.0,3.0,,2.0,2.0,3.0,No,Name,No
440,35 - 44,Master degree,,,Yes,1,10.0,Python;#MATLAB;#Fortran,,3.0,2.0,4.0,1.0,4.0,6.0,,,"Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,,3.0,,,,,,Yes,,,,3.0,,,3.0,3.0,Yes,Name,No
441,25 - 34,Master degree,Mechanical Engineering,Institute Energy 3,Yes,1,3.0,Python,,6.0,3.0,0.0,1.0,5.0,4.0,,1.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,2.0,2.0,2.0,,2.0,2.0,2.0,Yes,Name;#DOI,No
442,35 - 44,Master degree,Computer Science,Institute Space 17,Yes,4,20.0,Java;#Python;#JavaScript;#SQL,,4.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,Subversion;#Git,Yes,,3.0,3.0,3.0,2.0,2.0,3.0,3.0,Yes,,3.0,3.0,2.0,,3.0,2.0,3.0,Yes,Name;#Link;#DOI,Yes
443,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 16,Yes,3,5.0,C;#JavaScript,,5.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,Git,Yes,,1.0,3.0,2.0,2.0,2.0,3.0,3.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,No,,No
444,35 - 44,Master degree,Computer Science,Institute Space 17,Yes,4,17.0,Python;#C++;#Rust,,3.0,1.0,2.0,4.0,4.0,6.0,0.0,0.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,2.0,3.0,Yes,,3.0,2.0,2.0,,3.0,1.0,2.0,Yes,Name,No
445,25 - 34,Master degree,Computer Science,Institute Space 17,Yes,1,8.0,Python;#C++;#C#;#Other,,3.0,1.0,5.0,1.0,6.0,2.0,1.0,1.0,Subversion;#Git,Yes,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,Yes,,1.0,1.0,3.0,,1.0,2.0,3.0,No,,No
